version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 1,"domains: general, science, math, social_studies",,,,,,
microscopic,science,5,4,,MC,5,"A. Inspectors discovered ____ cracks in the hull of the submarine. B. He carefully recounts the tale, the ____ details of those crucial minutes.",*microscopic,gland,gelatin,zinc
momentum,science,5,4,,MC,5,A. She gave fresh ____ to the campaign. B. The campaign for reform should start to gather ____ in the new year.,rift,anemone,*momentum,symbiosis
mucus,science,5,4,,MC,5,A. This drug reduces ____ production in the gut. B. Everything was sticky with ____ and blood.,vent,bulge,behavioral,*mucus
mutation,science,5,4,,MC,5,A. Scientists have found a genetic ____ that appears to be the cause of Huntington's disease. B. These plants carry the ____ for red flowers.,*mutation,helium,biomass,supernova
nonvascular,science,5,4,,MC,5,"A. A moss is a small, ____ plant that has both stems and leaves but no roots. B. ____ procedures include treatment for hepatobiliary and pancreatic disorders.",atrium,*nonvascular,sandstone,esophagus
peat,science,5,4,,MC,5,A. Commercial ____ extraction is destroying many threatened habitats. B. Mulch with a generous layer of ____ or compost.,endocrine,meteorite,*peat,sunspot
ph,science,5,4,,MC,5,"A. Below ____ 6.is acid, above ____ 7.is alkaline. B. That word is spelt with a ____, not an F.",fragment,*ph,stationary,sac
pouch,science,5,4,,MC,5,A. He was going to make a tobacco ____ out of them. B. I will ____ up no such affront.,*pouch,gravitational,sublimation,hydrosphere
projection,science,5,4,,MC,5,A. Calculations are based on a ____ of existing trends. B. The Devil is a ____ of our fears and insecurities.,urine,sodium,*projection,au
reactants,science,5,4,,MC,5,A. The rate of chemical reactions often depends on the concentration of the ____ involved. B. Countless industrial processes use acids and bases as ____ or catalysts to make a variety of consumer goods.,brine,*reactants,metalloid,ultraviolet
sandpaper,science,5,4,,MC,5,A. Rub the surface with ____ before painting. B. Rub the wood down with fine ____ till it is smooth.,biceps,buildup,*sandpaper,hazard
setup,science,5,4,,MC,5,"A. I gradually got rather disillusioned with the whole ____ of the university. B. I like the feel and ____ of the gold-plated Floyd Rose licensed tremolo, which pivots on two vertical height adjusters.",liver,graphite,penicillin,*setup
sieve,science,5,4,,MC,5,A. Pass the sauce through a ____ to remove any lumps. B. Press the raspberries through a fine ____ to form a puree.,genetic,ultraviolet,*sieve,salinity
silicon,science,5,4,,MC,5,A. The ____ chip is less than a millimeter thick. B. A chip is a piece of ____ about the size of a postage stamp.,interdependence,capillary,*silicon,invasive
specimen,science,5,4,,MC,5,A. It was a ____ of his generosity. B. Can you give me a ____ of your handwriting?,ultraviolet,*specimen,quake,sunspot
stomata,science,5,4,,MC,5,"A. The images of the ____ were taken with the microscope focused to the narrowest part lower down in the pore. B. However, these systems were less developed than those on leaf ____, a feature that might be responsible for their inactivity.",helium,trachea,microchip,*stomata
supernova,science,5,4,,MC,5,A. A ____ sprays space with many different elements. B. The chances of a planet surviving a ____ always looked terribly slim.,*supernova,plankton,antelope,recessive
testable,science,5,4,,MC,5,A. They were no more ____ than the claims of Paley and the other advocates of natural theology. B. Compliance can also form a readily understood and ____ basis of contractual or regulatory requirements.,aquatic,nonmetal,*testable,koala
transpiration,science,5,4,,MC,5,"A. Apart from mysterious perfumes, the ____ of this unusual liquid is the most frequently reported phenomenon. B. Leaves and fruits of 'Hai-li' tangor had higher ____ rates than 'Tankan' tangor in outdoor condition. ",fungus,*transpiration,chloride,cannonball
trench,science,5,4,,MC,5,A. Workers dug a ____ for gas lines. B. The workmendug a ____ for the new water - pipe.,commensalism,valve,plasma,*trench
troposphere,science,5,4,,MC,5,A. The stratosphere is the layer above the ____ and extends to about 5km. B. The dry PV field in the lower ____ shows that the coupling of the dense PV isoline zone and the wind shear was formed in the storm area.,interdependence,invasive,biomass,*troposphere
ultraviolet,science,5,4,,MC,5,A. Use a sun cream to filter out ____ rays. B. The ozone layer screens out dangerous ____ rays from the sun.,ventricle,gelatin,chromosome,*ultraviolet
ammonia,science,5,3,,MC,5,A. It is dangerous to inhale ____ fumes. B. Dilute the ____ with water before you use it.,angiosperm,acidic,*ammonia,stomata
antacid,science,5,3,,MC,5,"A. I need an / some ____ to cure my indigestion. B. Now, gulping down ____ tablets, Rosenfeld grilled Bernstein and Woodward to find out how solid this latest story was.",*antacid,spruce,testable,bulge
aquatic,science,5,3,,MC,5,A. Many forms of ____ life inhabit ponds. B. Swimming and water-skiing are both ____ sports.,nonvascular,sodium,artery,*aquatic
archaea,science,5,3,,MC,5,"A. Over the past three decades, bacteria and ____ have been found in some of the most inhospitable places on Earth.	 B. Methane is formed by a unique group of anaerobic bacteria belonging to the ____, the methanogens.",asexually,microchip,*archaea,antacid
asexually,science,5,3,,MC,5,"A. Reproducing them ____ allows the researchers to ensure the genes of the different plants don't mix, preserving their genetic identity. B. But because many of the crops reproduce ____  producing clones, rather than reproducing through seeds  the banking process is far from simple.",*asexually,atrium,vacuole,interdependence
astronomical,science,5,3,,MC,5,A. Houses in the village are selling for ____ prices. B. He was an expert on ancient Chinese ____ literature.,liver,sulfur,resistance,*astronomical
au,science,5,3,,MC,5,"A. The problem is that, ____ fond , he's very lazy. B. We've got a German ____ pair for six months.",saturate,inorganic,intertidal,*au
biceps,science,5,3,,MC,5,"A. Your ____ will develop quickly with that exercise. B. This means that the ____ have been worked through their complete range of movement, aiding complete development.",collision,*biceps,valve,geologic
biology,science,5,3,,MC,5,A. In ____ class we had to dissect a frog. B. The library has a large ____ section.,digestion,angiosperm,infect,*biology
bronchiole,science,5,3,,MC,5,A. Each respiratory ____ breaks up abundant generous alveolar ducts. B. The end of the respiratory ____ has a sphincter.,saliva,*bronchiole,multicellular,microchip
bulge,science,5,3,,MC,5,A. What's that ____ in your pocket? B. The apple made a ____ in his pocket.,*bulge,indicator,plankton,respiration
cannonball,science,5,3,,MC,5,A. His idea was this: Suppose you fire a ____ vertically upward from the surface of the earth. B. This cosmic ____ is challenging theories to explain its blistering speed.,mucus,gland,helium,*cannonball
cavity,science,5,3,,MC,5,"A. Through this incision, the abdominal ____ is distended with carbon dioxide gas. B. Put herbs inside the body ____ of the fish.",photon,*cavity,gradual,seawater
ccd,science,5,3,,MC,5,"A. A ____ camera and on-board recorder records the image of the head-up display throughout the mission. B. The image source may be replaced by an eyepiece, a ____ camera, a photodiode, a quad cell, or a fiber port.",lymph,*ccd,stable,vacuole
chromosome,science,5,3,,MC,5,A. At this point esch ____ consist of a pair of chromatids and the two associated ____s are termed a tetrad. B. A visible example of X ____ inactivation is the tortoiseshell cat.,stationary,*chromosome,chromosome,compression
clump,science,5,3,,MC,5,A. I heard the heavy ____ of feet on the stairs. B. The spade sank into a ____ of overgrown bushes.,symbiosis,ccd,nonmetal,*clump
cobalt,science,5,3,,MC,5,"A. Kelly green, ____ blue and fire-engine red. B. The Royal Shrewsbury Hospital's ____ unit opened only last September after a massive public fund-raising drive.",digestion,genetic,clump,*cobalt
collision,science,5,3,,MC,5,A. The pilot avoided a ____ by changing course. B. The two communities are now on a ____ course.,lithosphere,interdependence,abyssal,*collision
commensalism,science,5,3,,MC,5,"A. The firm symbiosis and industrial ____ , the simultaneous localization of organization, technology and institution, and cross-boundary and multilevel evolution are at least included. B. Using the symbiosis theory in biology, we divide financing symbiosis relationships into two types, ____ and mutualism, and analyze the formation mechanism of these relationships.",*commensalism,constructive,penicillin,glassy
constructive,science,5,3,,MC,5,A. The woman claims she was the victim of ____ dismissal after being demoted. B. I wish Jon would make some ____ proposals instead of just making clever-clever remarks.,bleach,taxonomist,*constructive,recessive
cytoplasm,science,5,3,,MC,5,"A. While other ions abound in ____ in their millimoles, liberal estimates of free Ca concentrations run around 0.micromolar, maximum. B. The actin filaments extend into the ____ from this point and form long filaments orientated concentrically around the platelet granules.",combustion,*cytoplasm,saliva,artery
dicot,science,5,3,,MC,5,"A. In this longitudinal section of a ____ angiosperm stem, name the structure indicated by 'X'. B. These phenomena are quite similar to the model system of seed germination presented by ____ plants, suggesting that this model may be conserved in both ____ and monocot plants.",setup,*dicot,phonograph,hazard
echinoderm,science,5,3,,MC,5,"A. Marine reptiles and ____ crinoid that feature intact and delicate preservation and large quantity serve as the mark. B. However, different ____ species respond to ocean acidification in different ways, and the effects of rising temperatures can be as significant as those of rising carbon dioxide.",chemist,*echinoderm,interdependence,nonvascular
endocrine,science,5,3,,MC,5,"A. In association with ____ cell hyperplasia, gastric carcinoid tumours have been observed in 1-7% of pernicious anaemia patients screened by gastroscopy. B. Early ____ treatment may delay progression of disease but has never been shown to prolong survival.",cannonball,volt,saltwater,*endocrine
exhale,science,5,3,,MC,5,"A. Sweet odours ____ from the flowers. B. As the lungs ____ this waste, gas is expelled into the atmosphere.",*exhale,urine,infection,ribosome
furnace,science,5,3,,MC,5,A. I stoked the ____ for the night. B. The walls of the ____ are always scoured.,*furnace,bronchiole,inflate,quake
gelatin,science,5,3,,MC,5,A. He used ____ to glue the papers together. B. Jell-O shots are a bizarre concoction of sweet ____ and vodka.,gymnosperm,digestion,regulate,*gelatin
geologic,science,5,3,,MC,5,"A. Figure 4-1shows a ____ map with formations, strikes, and dips indicated. B. I felt the slow sweep of ____ time.",fullerene,graphite,dicot,*geologic
